id,dist_cap_km,taxa_fec,renda_cap,pobreza,pop_ate_25_2000,perc_ate_25_2000,var_pop_ate_25,perc_pop_urb,player
432220,273.1959729,2.35,234.99,38.13,9509,0.4539552203179453,1.05222972225296,0.8095670024347162,0
261590,272.178637,2.54,109.04,55.64,3861,0.4971671388101983,0.9730342741935484,0.7476178212722122,0
231355,100.2850583,3.3,56.39,65.22,6613,0.5751435032179509,1.0740620432028585,0.4590363541485476,0
293230,176.1376958,2.65,108.06,52.99,12231,0.5609778470852635,0.7595007451564829,0.8185570793010136,0
251690,397.1541617,2.4,119.49,50.23,6801,0.4971127841532052,0.8481107369996259,0.6538995687449748,0
251700,109.3557059,3.45,73.59,58.77,5050,0.549390774586597,0.8781081551034603,0.389686684073107,0
241475,366.6609552,3.04,41.55,72.41,2065,0.603448275862069,1.0243055555555556,0.20835768556399767,0
160080,180.4112592,4.95,115.85,59.98,5842,0.6824766355140187,1.7464872944693572,0.8037383177570093,0
293340,297.9568104,3.51,98.96,56.02,5216,0.5811051693404634,1.0688524590163935,0.6725713012477719,0
293345,590.8267543,3.07,90.94,54.72,7922,0.5804088211590592,0.9035127737226277,0.4013480841087259,0
412850,180.7853078,2.73,222.53,42.92,9275,0.4742062477631781,0.9367740632259368,0.7607239633928115,1
293360,517.2421824,3.84,73.31,61.43,26878,0.6010555033767163,1.0460400856197705,0.705867883179033,0
150013,388.8927371,3.06,194.77,42.47,3525,0.5917408091321135,1.0971055088702149,0.8220580829276481,0
310120,249.1312232,2.18,207.12,35.8,2771,0.4283505951460813,0.8486983154670751,0.4668418611841088,1
250040,98.81231213,3.44,82.87,58.21,10041,0.5405652759084791,1.0876299826689775,0.44689098250336473,0
240060,285.3611341,2.32,84.52,60.15,2648,0.509720885466795,0.7918660287081339,0.6496631376323387,0
520060,339.0236972,3.41,203.05,44.2,3587,0.580232934325461,1.3675181090354556,0.6759948236816564,0
160010,225.8414559,6.17,135.43,54.43,4575,0.6424659457941301,1.6570083303151033,0.8316247718017132,0
310280,216.8076507,2.68,207.21,40.14,5330,0.4329813160032494,0.8471074380165289,0.7763606823720552,1
520150,380.0134615,2.58,273.28,33.72,1594,0.4651298511817917,0.9187319884726225,0.6116136562591188,0
320060,55.86236117,2.24,250.45,45.19,34266,0.5301298018162972,1.1237333158429803,0.8425205377724833,0
170220,502.3445837,3.87,101.84,53.24,15712,0.6040753556324491,1.2008560073372057,0.6069973087274125,0
500124,295.0317885,3.36,148.64,47.81,4549,0.5647423960273122,0.9490924264552473,0.40608317815021727,0
290220,98.79425567,2.95,94.75,58.57,5226,0.5644847699287103,1.1289695398574207,0.46349103478073017,0
260120,242.3897977,2.78,170.86,50.51,31747,0.5153733766233767,1.0075214217708663,0.8977435064935065,0
250110,92.97125142,3.37,90.66,56.0,14715,0.5631242585434924,0.856020942408377,0.5155179671654357,0
350350,225.5368561,3.49,194.03,39.75,1792,0.49777777777777776,0.9813800657174151,0.6811111111111111,1
430130,302.0298375,2.5,224.39,40.88,8145,0.42528195488721804,0.9938987187309335,0.8193400167084378,0
240130,232.3821501,2.58,92.65,56.1,4747,0.5260416666666666,0.8490431049901628,0.5175088652482269,0
